OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
1050,-,3,112.14,801.00,236.00,75,758.65,798.25,300,8600.00,32175,1.10,1.35,75,-4.65,1.40,72.97,39877,-137100,406500
75,-,-,-,-,-,300,728.95,769.55,300,8650.00,75,1.35,1.55,2025,-5.50,1.55,70.35,5986,-47550,36675
2700,75,31,90.29,695.00,176.55,75,651.00,693.50,300,8700.00,75,1.30,1.70,3000,-6.90,1.70,66.88,56568,-93375,455325
150,-,-,-,-,-,300,629.75,669.80,300,8750.00,75,1.90,2.20,3225,-8.45,2.20,64.45,13472,-125175,77625
13800,1500,148,73.35,591.95,163.10,75,554.30,592.65,75,8800.00,150,2.65,2.70,225,-11.55,2.65,62.34,96175,-129300,908850
1650,-300,32,66.38,541.15,175.55,600,535.25,543.80,450,8850.00,225,3.30,3.40,75,-15.35,3.35,60.69,16579,-62625,59625
28125,-8550,959,66.45,494.00,160.00,75,447.35,493.65,300,8900.00,225,4.25,4.40,75,-20.25,4.25,57.64,120577,-158775,821850
4350,975,90,58.31,442.45,161.45,75,402.80,445.20,75,8950.00,225,5.55,6.00,1725,-26.15,6.00,56.01,27801,27225,160425
108375,-90525,6988,59.09,395.00,145.55,75,393.50,396.65,75,9000.00,2775,8.40,8.50,4650,-33.25,8.50,55.07,353838,198375,1941825
21600,-20550,1100,60.06,346.00,132.75,1500,343.75,350.30,75,9050.00,75,11.40,12.00,750,-44.05,11.15,53.67,57777,-54825,148575
192825,-266700,14458,54.81,300.10,119.85,1200,300.20,304.60,75,9100.00,375,17.00,17.60,75,-53.30,17.50,53.06,352313,-14175,960600
37725,-54900,2897,55.63,265.30,115.50,150,258.75,265.30,75,9150.00,150,25.00,27.45,75,-64.85,27.00,53.21,82180,-30450,162225
599100,-572250,53213,55.01,221.00,98.00,75,221.05,223.80,75,9200.00,75,37.05,38.40,225,-75.95,38.05,53.64,428388,242850,1100400
67125,-117900,8226,55.59,185.40,85.10,75,184.65,189.95,150,9250.00,75,51.00,51.85,1350,-88.60,51.65,54.03,78921,90225,159375
585450,-444300,102817,55.65,156.50,75.65,150,154.20,156.50,75,9300.00,1275,70.00,70.50,1425,-100.95,70.00,54.65,420029,523275,994950
157350,-80550,40334,57.47,129.00,63.10,1050,129.00,130.80,150,9350.00,75,91.25,93.00,225,-113.85,92.45,55.36,83028,109425,162900
1482900,307725,389870,57.61,105.25,53.45,1275,104.00,105.85,225,9400.00,600,118.00,119.60,1125,-125.25,118.00,56.19,382710,685575,879975
309300,131325,102404,58.35,85.00,43.70,1125,85.00,86.00,1575,9450.00,300,147.35,150.00,375,-137.60,147.15,56.76,38552,69525,86250
